#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
769,Sam Long,669674,669674,25379,11220,*0421l*,KC,RP,RP,Long,Sam,Long,Sam,Sam Long
770,Chris Murphy,669684,669684,26214,11710,*0514m*,CHW,RP,RP,Murphy,Chris,Murphy,Chris,Chris Murphy
771,Braden Shewmake,669699,669699,25817,10848,*04qri*,NYY,SS,SS,Shewmake,Braden,Shewmake,Braden,Braden Shewmake
772,Josh H. Smith,669701,669701,26396,11441,*052ru*,TEX,1B/SS/ 3B/OF,1B/SS/ 3B/OF,Smith,Josh H.,Smith,Josh H.,Josh Smith
773,Jared Triolo,669707,669707,25807,11668,*05128*,PIT,1B/2B/ SS/3B,1B/2B/ SS/3B,Triolo,Jared,Triolo,Jared,Jared Triolo
774,Greg Weissert,669711,669711,20375,10585,*0421q*,BOS,RP,RP,Weissert,Greg,Weissert,Greg,Greg Weissert
775,Hayden Wesneski,669713,669713,27581,11411,*0514f*,HOU,SP,SP,Wesneski,Hayden,Wesneski,Hayden,Hayden Wesneski
776,Will Wilson,669717,669717,25434,11104,*04yia*,CLE,3B,3B,Wilson,Will,Wilson,Will,Will Wilson
777,Austin Hays,669720,669720,19363,9763,*041qs*,FA,OF,OF,Hays,Austin,,,
778,Logan Davidson,669722,669722,25844,10858,*04n1n*,LAA,SS,SS,Davidson,Logan,Davidson,Logan,Logan Davidson
779,Brenan Hanifee,669724,669724,22304,11873,*041rq*,DET,RP,RP,Hanifee,Brenan,Hanifee,Brenan,Brenan Hanifee
780,Chris Rodriguez,669735,669735,22310,10162,*041rr*,CHW,RP,RP,Rodriguez,Chris,Rodriguez,Chris,Chris Rodriguez
781,Darick Hall,669742,669742,19717,11015,*041yc*,FA,1B,1B,Hall,Darick,Hall,Darick,Darick Hall
782,Alex Call,669743,669743,19296,10520,*041qv*,LAD,OF,OF,Call,Alex,Call,Alex,Alex Call
783,Ronel Blanco,669854,669854,19407,11447,*04ydi*,HOU,SP,SP,Blanco,Ronel,Blanco,Ronel,Ronel Blanco
784,Michael Toglia,669911,669911,25845,11080,*04ok3*,FA,1B,1B/OF,Toglia,Michael,,,
785,Jason Alexander,669920,669920,19666,10574,*05xze*,HOU,SP,SP,Alexander,Jason,Alexander,Jason,Jason Alexander
786,George Kirby,669923,669923,25436,10874,*04yie*,SEA,SP,SP,Kirby,George,Kirby,George,George Kirby
787,Jesse Scholtens,669947,669947,19205,11784,*041uv*,TB,RP,RP,Scholtens,Jesse,Scholtens,Jesse,Jesse Scholtens
788,Nicky Lopez,670032,670032,19339,10301,*041sg*,COL,2B/SS,2B/SS,Lopez,Nicky,Lopez,Nicky,Nicky Lopez
789,Matt Festa,670036,670036,19330,10060,*041tl*,CLE,RP,RP,Festa,Matt,Festa,Matt,Matt Festa
790,Luke Raley,670042,670042,19354,10764,*041ts*,SEA,1B/OF,1B/OF,Raley,Luke,Raley,Luke,Luke Raley
791,Colin Holderman,670059,670059,22361,11469,*0429k*,CLE,RP,RP,Holderman,Colin,Holderman,Colin,Colin Holderman
792,Wyatt Mills,670090,670090,20010,11152,,BOS,RP,RP,Mills,Wyatt,Mills,Wyatt,Wyatt Mills
793,Trenton Brooks,670092,670092,19384,12095,*0420f*,FA,OF,OF,Brooks,Trenton,,,
794,Zack Short,670097,670097,19562,10776,*0420g*,NYY,2B,2B,Short,Zack,Short,Zack,Zack Short
795,Bowden Francis,670102,670102,20548,11130,*0421k*,TOR,SP,SP,Francis,Bowden,Francis,Bowden,Bowden Francis
796,Nate Mondou,670148,670148,19563,11580,,FA,2B,2B,Mondou,Nate,,,
797,Miles Mastrobuoni,670156,670156,20017,10956,*041yi*,SEA,3B,2B/SS/ 3B,Mastrobuoni,Miles,Mastrobuoni,Miles,Miles Mastrobuoni
798,John Schreiber,670167,670167,20020,9986,*041z3*,KC,RP,RP,Schreiber,John,Schreiber,John,John Schreiber
799,Josh Winckowski,670174,670174,22387,11363,*041ze*,TOR,RP,RP,Winckowski,Josh,Winckowski,Josh,Josh Winckowski
800,Garrett Acton,670183,670183,27583,11759,*05ybh*,FA,RP,RP,Acton,Garrett,,,
801,Matt Mervis,670223,670223,27845,11582,*05ojj*,WSH,1B,1B,Mervis,Matt,Mervis,Matt,Matt Mervis
802,Kameron Misner,670224,670224,26374,12139,*04y9h*,KC,OF,OF,Misner,Kameron,Misner,Kameron,Kameron Misner
803,John Rave,670231,670231,26284,12400,*0513s*,KC,OF,OF,Rave,John,Rave,John,John Rave
804,Darius Vines,670241,670241,25928,11647,*05157*,ATL,SP,SP,Vines,Darius,Vines,Darius,Darius Vines
805,Matt Wallner,670242,670242,26466,11576,*04o78*,MIN,OF,OF,Wallner,Matt,Wallner,Matt,Matt Wallner
806,Cal Stevenson,670276,670276,22411,10383,*04pug*,FA,OF,OF,Stevenson,Cal,,,
807,David Bednar,670280,670280,19569,10681,*04aqc*,NYY,RP,RP,Bednar,David,Bednar,David,David Bednar
808,Rico Garcia,670329,670329,20023,10678,*04rzp*,BAL,RP,RP,Garcia,Rico,Garcia,Rico,Rico Garcia
809,Jose Rojas,670351,670351,19331,10794,,NYM,OF,OF,Rojas,Jose,Rojas,Jose,Jose Rojas
810,Yordan Alvarez,670541,670541,19556,10367,*04355*,HOU,OF,OF,Alvarez,Yordan,Alvarez,Yordan,Yordan Alvarez
811,Aaron Fossas,670579,670579,,10548,,CIN,P,P,Fossas,Aaron,Fossas,Aaron,
812,Isaac Paredes,670623,670623,20036,10218,*04071*,HOU,3B,1B/3B,Paredes,Isaac,Paredes,Isaac,Isaac Paredes
813,Mike Brosseau,670712,670712,19683,10641,*04ylg*,FA,3B,3B,Brosseau,Mike,,,
814,Taylor Walls,670764,670764,22458,10955,*04bpj*,TB,SS,SS,Walls,Taylor,Walls,Taylor,Taylor Walls
815,TJ Friedl,670770,670770,19522,10344,*045gu*,CIN,OF,OF,Friedl,TJ,Friedl,TJ,TJ Friedl
816,Logan Gillaspie,670810,670810,22461,11380,*05y17*,SD,RP,RP,Gillaspie,Logan,Gillaspie,Logan,Logan Gillaspie
817,Abrahan Gutierrez,670868,670868,sa3004263,10373,*0440c*,NYY,C,C,Gutierrez,Abrahan,Gutierrez,Abrahan,
818,Livan Soto,670869,670869,22471,10275,*04am3*,FA,SS,SS,Soto,Livan,Soto,Livan,Livan Soto
819,Yunior Severino,670870,670870,sa3003185,10368,*04ahd*,MIN,2B,2B,Severino,Yunior,Severino,Yunior,
820,Guillo Zuniga,670871,670871,19588,11737,*04y6o*,SEA,RP,RP,Zuniga,Guillo,Zuñiga,Guillo,Guillo Zuñiga
821,Johan Oviedo,670912,670912,22487,10892,*04674*,BOS,SP,SP,Oviedo,Johan,Oviedo,Johan,Johan Oviedo
822,Edwin Uceta,670955,670955,20539,11060,*04tji*,TB,RP,RP,Uceta,Edwin,Uceta,Edwin,Edwin Uceta
823,Adrian Morejon,670970,670970,20039,10123,*043ia*,SD,RP,RP,Morejon,Adrian,Morejon,Adrian,Adrian Morejon
824,Yohan Ramirez,670990,670990,19444,10796,*04ddz*,PIT,RP,RP,Ramirez,Yohan,Ramírez,Yohan,Yohan Ramírez
825,Ivan Herrera,671056,671056,20599,10220,*04hyc*,STL,C,C,Herrera,Ivan,Herrera,Iván,Iván Herrera
826,Buddy Kennedy,671083,671083,22505,10382,*04egt*,FA,3B,3B,Kennedy,Buddy,Kennedy,Buddy,Buddy Kennedy
